NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Cobo Carmona, Ana;Jaén;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada, dos hijos.   Licenciada en Ciencias Económicas y Empresariales.   Analista de riesgos financieros.   Directora de Parque Científico Tecnológico GEOLIT (último empleo).   Delegada del Gobierno Andaluz en Jaén.   Delegada de Economía en Jaén.  Concejal del Ayuntamiento Linares (Jaén)
Cobo Pérez, Noelia;Cantabria;PSOE;17/08/2023;16/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada, tres hijos, un niño y dos niños gemelos. Reside en Santoña. Formación Profesional de Segundo Grado, Técnico especialista en Informática de Gestión. Ha desempeñado mi vida laboral en SEG AUTOMOTIVE.  Diputada regional desde 2019 en el Parlamento de Cantabria, desempeñando el cargo de portavoz del Grupo Socialista.  Desde 2017 miembro de la Ejecutiva Regional del PSOE de Cantabria como Secretaria de Organización.
Cobo Vega, Manuel;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Cuatro hijos.  Licenciado en Derecho, Universidad Complutense. Máster Administración y Dirección de Empresas - ICADE.  Diputado en la Asamblea de Madrid (1991-2003).   Portavoz del Grupo Popular (1995-1999).   Consejero de Presidencia y Portavoz del Gobierno (1999-2003).   Consejero de Hacienda (2000-2001).   Vicealcalde, Portavoz Grupo Popular y Portavoz Gobierno 2003-2011).  Secretario ejecutivo de Política local del Partido Popular (2012-2015)  Miembro del Comité Ejecutivo Nacional del Partido Popular (2008-2015 y desde 2022)
Cofiño Fernández, Rafael;Asturias;SUMAR;17/08/2023;07/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;"Licenciado en Medicina y Cirugía. Especialista en Medicina Familiar y Comunitaria (1995-1997).  
Medico en Proyecto Hombre (1998-2000).  
Coordinador regional del Programa de Actividades Comunitarias en Atención Primaria de la semFYC (2008-2011).  
Jefe de Seccion de Programas de Prevención. Dirección General de Salud Pública. Consejería de Salud Asturias (2002-2006).  
Médico de Familia en el Centro de Salud de La Felguera (2006-2007).  
Jefe del Servicio de Salud Poblacional. Dirección General de Salud Pública. Consejería de Salud Asturias (2007-2019).  
Director General de Salud Pública. Consejería de Salud Asturias (septiembre 2019-diciembre 2021).  
Coordinador de la Estrategia de Acción Comunitaria y Promoción de la Salud de Asturias (enero 2022-actualidad).  
Profesor asociado de la Escuela Andaluza de Salud Pública (2013-actualidad).  Miembro del Consejo Académico de la Escuela de Salud Pública de Menorca (2015-hasta la actualidad).  Co-Coordinador del grupo de Sanidad de Sumar (2021-actualidad)  
Docente e investigador en áreas relacionadas fundamentalmente con la promoción de la salud, la salud comunitaria, atención primaria y la acción comunitaria.  
  Acceso a publicaciones en Orcid "
Conde Bajén, Agustín;Toledo;PP;17/08/2023;01/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, padre de tres hijos.  Licenciado en Derecho  Diplomado en Estudios Avanzados en Derecho (DEA)  Máster en Defensa Nacional  Diplomado en Defensa Nacional  Abogado en ejercicio desde 1988  Alcalde de Toledo 1995-1999  Diputado en las Cortes de Castilla-La Mancha 1999-2003  Senador por designación de las Cortes de Castilla-La Mancha en 1999-2003  Senador por Toledo 2000-2004, 2004-2008, 2008-2011  Diputado por Toledo 2011-2015  Secretario de Estado de Defensa 2016-2018   Académico correspondiente de la Real Academia de Jurisprudencia y Legislación  Académico de número de la Academia de Ciencias Sociales y Humanidades de Castilla-La Mancha
Conde López, Francisco José;Lugo;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Ciencias Económicas y empresariales por la Universidad Complutense de Madrid. Doctor en Ciencias Económicas y Empresariales por la Universidad Complutense de Madrid.  Consejero de Economía e Industria de la Xunta de Galicia desde diciembre de 2012 a mayo de 2022. Vicepresidente Primero y Consejero de Economía, Industria desde marzo 2022 a junio 2023.  Diputado del Parlamento de Galicia desde diciembre de 2016 a agosto de 2023.
Conesa Coma, Ignasi;Barcelona;PSC-PSOE;19/09/2023;19/09/2023;Grupo Parlamentario Socialista;19/09/2023;;Licenciado en Geografía e Historia, especialidad Antropología.  Primer Secretario PSC Sants Montjuïc.  Trabajador público Ayuntamiento de Barcelona
Cortés Carballo, Mario;Málaga;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Decano de Colegio Oficial de Ingenieros Técnicos de Telecomunicación de España.  
1er Teniente de Alcalde y Portavoz del Ayuntamiento de Málaga (2013-2017)  
Concejal responsable de Seguridad, Innovación, Emprendimiento y Nuevas Tecnologías entre los años (2011-2019)  Ingeniero Técnico de Telecomunicación por la Universidad de Málaga. Especialidad Sistemas Electrónicos. MBA Executive de ESESA."
Corujo Berriel, María Dolores;Palmas (Las);PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Licenciada en Psicología.  Secretaria General del PSOE Lanzarote. 
Concejala de las áreas de Educación, Deporte y Cultura en el Ayuntamiento de San Bartolomé de Lanzarote (2007-2011)  
Alcaldesa-Presidenta del Ayuntamiento de San Bartolomé de Lanzarote (2011-2019).  
Diputada del Parlamento de Canarias por Lanza rote (2015-2023) y portavoz en diferentes periodos.  
Presidenta del Cabildo Insular de Lanzarote (desde junio de 2019 a junio de 2023).  
Consejera en el Cabildo de Lanzarote (desde junio 2023)"
Crespín Rubio, Rafaela;Córdoba;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Maestra de Educación Especial  Concejala del Ayuntamiento de La Carlota 1999-2015.  Diputada Provincial 1999-2007  Alcaldesa de La Carlota (2007-2015)  Delegada del Gobierno de la Junta en Córdoba (2015-2017) Oviedo (Asturias)
Cruset Domènech, Josep Maria;Tarragona;JxCAT-JUNTS;17/08/2023;10/08/2023;Grupo Parlamentario Junts per Catalunya;28/08/2023;;Ingeniero Químico.   MBA.   Funcionario.   Alcalde de Riudoms 2007-2018.   Diputado provincial 2009, 2018.   Presidente Autoritat Portuaria de Tarragona 2018-2022. 
Cruz Santana, Gabriel;Huelva;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en derecho por la Universidad de Sevilla.  Abogado en ejercicio (1990-2003).  Delegado Junta Andalucía (2004-2011).  Alcalde de Huelva (2015-2023)
Cruz-Guzmán García, María Soledad;Sevilla;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada, tres hijos.   Arquitecta Superior ETSA Edificación  Desarrollo de actividad profesional en el ámbito de la arquitectura e innovación.   Coordinadora curso de arquitectura interior.  Coordinadora de Innovación PP-A  Consejera Consejo Social UPO  Delegada de Fomento, Infraestructuras, Cultura y Patrimonio Histórico de Sevilla
Cuesta Rodríguez, María del Socorro;Segovia;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada.   Licenciada en Derecho por la Universidad Complutense de Madrid.   Máster en Asesoría Jurídica de Empresas Centro de Estudios Financieros.   Alcaldesa del Ayuntamiento del Espirdo, Segovia desde 2011.   Diputada Provincial por Segovia de 2015 a 2023.   Presidenta del Segovia Sur desde 2011
De Andrés Guerra, Javier;Araba/Álava;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Tres hijos. Licenciado en Ciencias de la Información. Máster en Hacienda y Finanzas Publicas.  Diputado General de Álava (2011-2015)  Delegado del Gobierno en el País Vasco (2016-2018).
De las Cuevas Cortés, Félix;Cantabria;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho, Universidad de Cantabria.   Máster Asesoría Jurídica de Empresas, IE Instituto de Empresa.   Director de Relaciones Institucionales Saint Gobain, 2008-2019.   Director Servicios Generales Saint Gobain 2008-2019.   Director Servicios Industriales, 2002-2008.   MAXJT Saint Gobain.   Gestor contratos con las administraciones Urbaser 2001-2002.   Gerente regional Partido Popular de Cantabria 1995-2001.   Senador por Cantabria del Partido Popular. 
De los Santos González, Jaime Miguel;Madrid;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Historia del Arte, Universidad Complutense de Madrid.   Vocal Asesor del Gabinete del Presidente Rajoy, 2012-2015.   Director General Promoción Cultural Comunidad de Madrid, 2015-2016.   Viceconsejero de Cultura y Turismo de la Comunidad de Madrid, 2016-2017.   Consejero de Cultura, Turismo y Deporte de la Comunidad de Madrid, 2017-2019.   Diputado en la Asamblea de Madrid durante las legislaturas XI, XII y XIII.   Senador autonómico, 2021-2023.   Autor de ¿Si te digo lo que hice¿, Editorial Espasa. 
De Luna Tobarra, Llanos;Barcelona;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada con una hija  Licenciada en Derecho  Funcionaria del Cuerpo Superior de Técnicos de la Administración de la Seguridad Social.  Máster INAP  Escuela Práctica Jurídica.  Subdelegada del Gobierno en Barcelona.  Diputada y Portavoz Adjunta del Grupo Popular en el Parlament de Cataluña.  Delegada del Gobierno en Cataluña
De Meer Méndez, Rocío;Almería;VOX;17/08/2023;14/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciada en Derecho por la Universidad Complutense de Madrid
De Rosa Torner, Fernando;Valencia/València;PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho, Universidad de Valencia.   Magistrado.   Vicepresidente CGPJ.   Último destino judicial, presidente audiencia provincial de Valencia.   Secretario Autonómico Justicia, Consellería de la Comunidad Valenciana.   Conseller justicia, Comunidad Valenciana.   Senador provincia Valencia, legislaturas XIII y XIV. 
Del Valle Rodríguez, Emilio Jesús;Cantabria;VOX;17/08/2023;07/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciado en Derecho por la Universidad Complutense.   Funcionario de Carrera del Cuerpo Técnico Superior de la Administración de la CCAA de Cantabria  Consejero de Presidencia del Gobierno de Cantabria (1995-1999)  Secretario General de Economía, Hacienda y Empleo del Gobierno de Cantabria (2011-2015)   Secretario General de Economía y Hacienda del Gobierno de Cantabria (1991-1992)
Delgado Arce, Celso Luis;Ourense;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho por la Universidad de Santiago de Compostela.  Abogado.  Diputado y Vicepresidente del Parlamento de Galicia (1997-2000)
Delgado-Taramona Hernández, Jimena;Palmas (Las);PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada, madre de 3 hijos.   Licenciado en Ciencias Económicas y Empresariales (E-2) ICADE-Universidad Pontificia de Comillas.   Máster Altos Estudios Económicos Europeos, Colegio de Europa, Brujas, Bélgica.   Presidenta de la Zona Especial Canaria.   Directora General de Promoción Económica del Gobierno de Canarias.   Gerente Sociedad Promoción Económica Gran Canaria
Díaz Marín, Raúl;Rioja (La);PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Máster de Acceso a la Abogacía, 2016.   Grado en derecho por la Universidad de La Rioja, 2014.   Licenciado en Ciencias Políticas y de la Administración, 2010.   Diputado en el Parlamento de La Rioja 2015-2023.   Senador autonómico 2019-2023.   Concejal del Ayuntamiento de Uruñuela, 2011- 2019. 
Díaz Pérez, Yolanda;Madrid;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciada en Derecho  Cursos superiores y postgrados  Relaciones Laborales, Derecho Urbanístico y Ordenación Territorial, Recursos Humanos. Curso sobre Derechos Humanos y reconciliación. Curso sobre reforma de prestaciones de la Seguridad Social, curso de contratación laboral y seguridad social, curso de práctica laboral, curso sobre contratación y fiscalidad de gestión urbanística, curso sobre mujer, administración y poder político, curso sobre discriminación de género, curso sobre reforma de la LECRIM, curso sobre la nueva LEC
Diouf Dioh, Luc Andre;Palmas (Las);PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Secretario de Políticas Migratorias y de Refugiados de la CEF PSOE desde 2021-actualidad  
Secretario Ejecutivo de Políticas Refugiados de la CEF PSOE (2017-2021)  
  
2016-2017. Coordinador del Proyecto de formación, integración y sostenimiento de asociaciones de inmigrantes (FISAI) de la Consejería de Bienestar Social, Juventud y Deportes (Servicios Sociales) del Gobierno de Canarias.  
2016. Miembro del Comité de Expertos de la candidatura de Pedro Sánchez.  
2013 a 2016.Presidente de la Federación de Asociaciones Africanas, FAC en CA Canarias.  
2005-2014. Secretario de Migraciones de la Comisión Ejecutiva de Comisiones Obreras en Canarias.  
2008-2012. Coordinador de la Federación de Asociaciones Africanas, FAC en CA Canarias.  
2000-2012. Miembro del Consejo Superior de los senegaleses del exterior del Gobierno de Senegal.  
2000-2011. Presidente de la Comisión Permanente del Foro Canario de la Inmigración.  
2000-2008. Miembro del Grupo de Expertos en la Comisión de Cooperación al Desarrollo del Gobierno de Canarias.  
2000-2005. Coordinador del Área de Migraciones de CCOO-Canarias.  
1996-2000. Mediador intercultural y técnico en inmigración en el Centro de información a trabajadores extranjeros- CITE de Comisiones Obreras- CCOO en Las Palmas de Gran Canaria. "
Errejón Galván, Íñigo;Madrid;SUMAR;17/08/2023;14/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciado en Ciencias Políticas.  Doctor en Ciencias Políticas.
Esteban Bravo, Aitor;Bizkaia;EAJ-PNV;17/08/2023;16/08/2023;Grupo Parlamentario Vasco (EAJ-PNV);18/08/2023;;Casado. Dos hijos.   Doctor en Derecho.   Profesor de la Universidad de Deusto.   Secretario de Presidencia y Portavoz de la Diputación Foral de Bizkaia (1991-1995).   Presidente de las Juntas Generales de Bizkaia (1995-2003)
Fabra Part, Alberto;Castellón/Castelló;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, 2 hijos.  Arquitecto Técnico.  Alcalde de Castellón (2005-2011).  President de la Generalitat Valenciana (2011-2015).  Senador territorial (2015-2023)
Fagúndez Campo, Antidio;Zamora;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Ingeniero Civil.  Ingeniero Técnico Obras Públicas
Faneca López, María Luisa;Huelva;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Diplomada en Magisterio. 
Funcionaria de Carrera del Ministerio de Trabajo y Seguridad Social con destino en el Instituto Social de la Marina en su Dirección Provincial de Huelva. 
En la trayectoria política en la Administración Local se ha desempeñado en Isla  Cristina como Alcaldesa de mi pueblo y en Huelva como Vicepresidenta de la Diputación  Provincial de Huelva y Presidenta del Servicio de Gestión Tributaria de Huelva. 
En la Administración Autonómica como Delegada Provincial de Servicios Sociales de la Consejería de A.A.S.S. de la Junta de Andalucía en Huelva y Directora General de Pesca y Acuicultura de la Consejería de Agricultura y Pesca de la Junta de Andalucía. 
En la Administración del Estado como Presidenta de la Sociedad Estatal de Agricultura, Ganadería y Pesca (SAECA) tutelada por el Ministerio de Agricultura y Pesca.  Portavoz de la Comisión de Agricultura, Pesca y Alimentación.  Vocal de la Diputación Permanente"
Fernández Benéitez, Andrea;León;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Grado en Derecho.  Máster de Acceso a la Abogacía
Fernández González, María Mercedes;Asturias;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Senadora XIV legislatura.  Licenciada en Derecho por la Universidad de Oviedo.   Licenciada en Ciencias Políticas y Sociología.   Profesora de Derecho Civil en la Universidad de Oviedo.   Profesora de Derecho Procesal en el centro asociado de la UNED en Asturias.   Ejercicio como abogado durante 15 años.  Portavoz de Seguridad Social y miembro de la Diputación Permanente.  Portavoz Junta General del Principado 2012-2015 y 2015-2019. Delegada del Gobierno 2000-2004. Sindica de Cuentas en Asturias (2005-2011)
Fernández Hernández, Pedro;Zaragoza;VOX;17/08/2023;02/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado, un hijo.  Licenciado en Derecho. Abogado  Concejal del Ayuntamiento de Madrid.
Fernández Herranz, Sandra;Balears (Illes);PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Derecho. Máster en Comunicación Corporativa y Marketing Digital. Experta en Responsabilidad Social Corporativa.  Concejal en el Ayuntamiento de Palma (junio 2007 - junio 2011). Consellera de Familia y Bienestar Social (mayo 2013 - junio 2025). Diputada en el Parlament Balear (julio 2015-abril 2019).
Fernández Ríos, Tomás;Huelva;VOX;17/08/2023;09/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciado en Derecho.  Máster  Escuela de Negocios ESIC.  Ha desarrollado su actividad profesional durante 25 años en la dirección comercial de operaciones de distintas compañías nacionales e internacionales.  Actualmente es Vicesecretario de Organización de VOX
Figaredo Álvarez-Sala, José María;Asturias;VOX;17/08/2023;09/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciado en Derecho en 2011.   Licenciado en ADE en 2012
Flores Juberías, Carlos;Valencia/València;VOX;17/08/2023;08/08/2023;Grupo Parlamentario VOX;18/08/2023;;Divorciado. Cuatro hijos.  Licenciado en Derecho, 1987, por la Universidad de Valencia y en Ciencias Políticas por la UNED.   Doctor en Derecho, 1993 por la Universidad de Valencia.   Catedrático de Derecho Constitucional, 2017, en la Universidad de Valencia.   Doctor Honoris Causa por las Universidades de San Francisco Xavier (Sucre, 2011) y de los Santos Cirilo y Metodio (Skopje, 2015). 
Floriano Corrales, Carlos Javier;Cáceres;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Doctor en Derecho  Profesor titular de Economía Aplicada.  Senador por designación autonómica 2003-2008  Diputado en el Congreso 2088-2019  Senador por elección 2019-2023  Colaborador del Economista  Autor del ensayo ""Derecho y economía una aproximación al análisis económico del derecho"".  Autor de la novela ""Tan terrible es el Ocho""
Folch Blanc, Javier José;Huesca;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho, Universidad de Zaragoza.   Máster en Administración y Dirección de Empresas ICADE.   Programa Relaciones Laborales EADA.   Programa de Dirección ONGs y fundaciones ESADE.   Director, Asaja Huesca Aragón 2017-2023.   Director TECNIRIEGO 2007-2011.   Director, RRHH, Grupo MEFLUR Comunicaciones 2003-2007.   Director, RRHH OASIS Hoteles, México 1994, 1999.  Titular de explotación agraria familiar
Franco González, Silvia;León;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciatura en Derecho   Funcionaria del Cuerpo Superior de la Administración de la Comunidad de Castilla y León  Senadora durante la X Legislatura
Fullaondo la Cruz, Marije;Bizkaia;EH Bildu;17/08/2023;14/08/2023;Grupo Parlamentario Euskal Herria Bildu;18/08/2023;;Graduada en Magisterio. Licenciada en psicopedagogía. Licenciada en antropología.  Concejala del Ayuntamiento de Errigoiti.
Fúnez de Gregorio, Carmen;Ciudad Real;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Vicesecretaria Políticas Sociales y Reto Demográfico del Partido Popular. 
Gallardo Barrena, Pedro Ignacio;Cádiz;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Agricultor desde 1996, cuarta generación de agricultores.   Diplomado en Ciencias Empresariales.   Presidente ASAJA Cádiz 2016, 2023.   Vicepresidente Agricultores Europeos COPA-COGECA 2020 2023.   Presidente ALAS Alianza por una Agricultura Sostenible, 2019, 2023.   Vicepresidente ASAJA Nacional 2018 2022.  Vicepresidente, Confederación de Empresarios de Cádiz 2017-2021.  Vicepresidente, Confederación de Empresarios de Andalucía 2022.   Representante ASAJA en Bruselas 2009-2023.   Ganador del Proyecto Más Sostenible premios ASAJA Joven 2014.   Ganador siembras tempranas girasol Madrid, España.   Ganador Proyecto Más Innovador, II Congreso Europeo Jóvenes Agricultores, Parlamento Europeo, 2014. 
Gamarra Ruiz-Clavijo, Concepción;Rioja (La);PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Licenciada en Derecho, especialidad jurídico económica por la Universidad de Deusto. 
Abogada no ejerciente  Alcaldesa de Logroño 2011-2019.  Vicepresidenta de la FEMP 2016-2019.  Concejal del Ayuntamiento de Logroño 2003-2011 Vicesecretaria Nacional de Política Social del PP
"
García Adanero, Carlos;Madrid;PP;17/08/2023;11/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Abogado no ejerciente.  Concejal del Ayuntamiento de Pamplona
García Félix, Manuel;Huelva;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Ingeniero de la Edificación   Arquitecto Técnico  Profesor en la Universidad de Huelva  Alcalde de La Palma del Condado   Miembro del Comité Europeo de las Regiones   Presidente de la Comisión del Patrimonio de la FEMP   Escritor, conferenciante
García Gomis, David;Alicante/Alacant;VOX;17/08/2023;04/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado y con dos hijos.  Graduado en Educación Secundaria.  Trabajando desde los 16 años en diferentes sectores.  Concejal Ayuntamiento de San Vicente del Raspeig 2019.  Diputado Cortes Valencianas X Legislatura
García Gurrutxaga, María Luisa;Gipuzkoa;PSE-EE (PSOE);17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada y con un hijo.  Magisterio (Filología Vasca)  Asesora de educación de multilingüismo. Especialista en Lengua Inglesa.  Directora de Innovación Educativa G.V.  Presidenta del Consejo Escolar de Euskadi  Concejal del Ayuntamiento de San Sebastián.  Presidenta de BETEA (Asociación de Profesores de Inglés del País Vasco (2004-2008)  Miembro del Consejo Escolar del Estado (2010-2013)  Orden de Alfonso X el Sabio en Grado de Encomienda
García López, Maribel;Badajoz;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casada. Madre de dos hijos.  Maestra especialista en Educación Física, Educación Especial y Educación Primaria.  
Licenciada en Psicopedagogía. Universidad de Extremadura.  
Estudios de doctorado finalizados en Intervención Psicopedagógica.  
Estudios Superiores de Danza Clásica por la royal Academy of Dance. UK.  
Máster de Inspección y Supervisión Educativa por la UNED.  
Funcionaria de Carrera del Cuerpo de Maestros desde 1995.  
Consejería de Educación y Empleo de la Junta de Extremadura.  
Concejala en el Ayuintamiento de Badajoz durante la legislatura 2015-2019.  
Jueza Árbitra Nacional de Atletismo Real Federación Española de Atletismo.  
Miembro de la Junta Directiva de la Real Federación Española de Atletismo.  
Inspectora provincial de Educación.  Inspectora Provincial de Educación, Junta de Extremadura.  Máster en Comunicación y Liderazgo Político, UAB."
García Morís, Roberto;Asturias;PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Licenciado en Historia, Universidad de Oviedo. 2005.  Diplomado en Magisterio Educación Primaria, Universidad de Oviedo. 2012.  Doctor en Historia, Universidad de Oviedo, 2014.  Profesor Contratado Doctor Didáctica Ciencias Sociales, Universidade da Coruña.  Secretario General de la Agrupación Socialista de Siero (Asturias) 2007-2017.  Secretario Formación e Impulso Ideológico FSA-PSOE (2017-2022)  Secretario de Formación y Programas FSA-PSOE (2022-Actualidad)
"
Garre Murcia, Cristóbal;Málaga;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Ciencias Económicas y empresariales.   Gestor administrativo.   Grado en derecho.   Máster abogacía.   Concejal empleo, empresas y distrito en Marbella desde 2015-2023. 
