codigo_mun,mun,election,censo,perc_escrutado,blancos,nulos,candidaturas,part,codigo_candidatura,partido,orden,votos,perc_votos
15004,Ares,2024,5229,100,23,33,3407,66.22,0006,ESCANOS EN BRANCO,9,8,0.23
15005,Arteixo,2024,26154,100,119,136,14908,57.97,0001,PODEMOS,8,82,0.54
15006,Arzúa,2024,4999,100,27,38,3334,67.99,0012,PACMA,7,4,0.11
15007,A Baña,2024,2975,100,14,12,2100,71.46,0012,PACMA,7,4,0.18
15008,Bergondo,2024,5938,100,27,51,4045,69.43,0006,ESCANOS EN BRANCO,9,9,0.22
15009,Betanzos,2024,10628,100,74,86,7209,69.33,0006,ESCANOS EN BRANCO,9,15,0.2
15010,Boimorto,2024,1652,100,15,7,1131,69.79,0013,ECG,10,1,0.08
15011,Boiro,2024,15745,100,75,141,9697,62.95,0001,PODEMOS,8,25,0.25
15012,Boqueixón,2024,3556,100,22,53,2574,74.49,0001,PODEMOS,8,6,0.23
15013,Brión,2024,6537,100,41,39,4334,67.52,0006,ESCANOS EN BRANCO,9,9,0.2
15014,Cabana de Bergantiños,2024,3668,100,20,12,2436,67.28,0001,PODEMOS,8,2,0.08
15015,Cabanas,2024,2921,100,12,17,1886,65.55,0012,PACMA,7,4,0.21
15016,Camariñas,2024,4432,100,24,28,2749,63.19,0012,PACMA,7,4,0.14
15017,Cambre,2024,20158,100,155,136,12726,64.57,0001,PODEMOS,8,52,0.4
15018,A Capela,2024,1052,100,14,6,660,64.63,0001,PODEMOS,8,1,0.14
15019,Carballo,2024,25962,100,141,119,15901,62.24,0001,PODEMOS,8,29,0.18
15020,Carnota,2024,3414,100,17,9,2253,66.75,0001,PODEMOS,8,5,0.22
15021,Carral,2024,5468,100,29,38,3522,65.63,0012,PACMA,7,11,0.3
15022,Cedeira,2024,5425,100,23,31,3261,61.1,0001,PODEMOS,8,8,0.24
15023,Cee,2024,6397,100,32,42,4164,66.24,0012,PACMA,7,6,0.14
15024,Cerceda,2024,4232,100,20,50,2954,71.45,0009,PUM+J,11,4,0.13
